FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
804256.txt,https://www.jafra.com,20,www.jafra.com,13,0,com,100,1,0.5229071,0.060112203,3,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,2534,988,1,jafra,100,100,1,0,1,0,0,1,4,4,0,1,1,1,0,0,1,0,1,50,2,26,292,48,46,1
609646.txt,https://www.docauminhkhang.com,29,www.docauminhkhang.com,22,0,com,100,1,0.5229071,0.056719501,3,1,0,0,0,16,0.552,0,0,0,0,0,1,0.034,1,4470,5704,1,docauminhkhang,100,100,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,93,7,30,155,3,194,1
mw65553.txt,http://www.diannao.urlfb.co,26,www.diannao.urlfb.co,20,0,co,59.66935794,0.615384615,0.0059772,0.055478278,2,2,0,0,0,13,0.5,0,0,0,0,0,2,0.077,0,8,41,1,diannaourlfb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw76205.txt,http://www.i19lo.net,19,www.i19lo.net,13,0,net,66.17283951,0.8,0.0384199,0.051232085,3,1,0,0,0,5,0.263,2,0.105,0,0,0,1,0.053,0,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
848895.txt,https://www.ueel.org,19,www.ueel.org,12,0,org,100,1,0.0799628,0.069718954,3,1,0,0,0,6,0.316,0,0,0,0,0,1,0.053,1,458,9800,1,ueel,100,100,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,12,24,13,79,0,87,1
47105.txt,https://www.telia.no,19,www.telia.no,12,0,no,100,1,0.0023289,0.064973967,2,1,0,0,0,6,0.316,0,0,0,0,0,1,0.053,1,756,14603,1,telia,100,100,1,1,1,0,0,1,0,2,0,1,1,1,0,0,1,0,0,23,1,14,31,0,15,1
mw51334.txt,http://www.toythieves.com,24,www.toythieves.com,18,0,com,70.6122449,1,0.5229071,0.061167663,3,1,0,0,0,12,0.5,0,0,0,0,0,1,0.042,0,16,50,1,toythieves,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7967869.txt,https://bt-homes.square.site/,28,bt-homes.square.site,20,0,site,68.95238095,0.466666667,0.0017656,0.058623524,4,1,0,0,0,17,0.607,0,0,0,0,0,3,0.107,1,68,80,1,bt-homessquare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8086999.txt,http://43.134.240.146/v3/signin/identifier?dsh=s50683809:1679418132559226&amp;followup=https://accounts.google.com/&amp;ifkv=awnoghcp9-2ltxwadw0w_mghydw9zdfdw9swv1afoeguuppgqrv88h4kwfhcxeravqggpsjgv5j9rw&amp;passive=1209600&amp;continue=https://accounts.google.com/&amp;flowname=weblitesignin&amp;flowentry=servicelogin&amp;ifkv=awnoghdxj0d5aehsf5octub9jqayrhvydcvvomxehnkc9hncjx02jrhrb61ddnz87mxqh6aqwur1mw,407,43.134.240.146,14,1,146,2.093106004,0.4,0,0.038061646,3,2,0,0,0,279,0.686,67,0.165,8,1,0,29,0.093,1,2,1638,1,43134240v3signinidentifier?dsh=s50683809:1679418132559226&amp;followup=accountsgooglecom&amp;ifkv=awnoghcp9-2ltxwadw0w_mghydw9zdfdw9swv1afoeguuppgqrv88h4kwfhcxeravqggpsjgv5j9rw&amp;passive=1209600&amp;continue=accountsgooglecom&amp;flowname=weblitesignin&amp;flowentry=servicelogin&amp;ifkv=awnoghdxj0d5aehsf5octub9jqayrhvydcvvomxehnkc9hncjx02jrhrb61ddnz87mxqh6aqwur1mw,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
166723.txt,https://www.ku.lt,16,www.ku.lt,9,0,lt,100,1,0.0005524,0.030239771,2,1,0,0,0,3,0.188,0,0,0,0,0,1,0.062,1,2554,379,1,ku,100,100,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,21,15,24,261,0,15,1
240657.txt,https://www.watertownsavings.com,31,www.watertownsavings.com,24,0,com,100,1,0.5229071,0.058499122,3,1,0,0,0,18,0.581,0,0,0,0,0,1,0.032,1,1198,26900,1,watertownsavings,100,100,0,0,1,0,0,1,0,6,0,1,1,1,1,1,1,1,1,21,5,114,50,1,22,1
28127.txt,https://www.punycoder.com,24,www.punycoder.com,17,0,com,100,1,0.5229071,0.060016405,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,328,4611,1,punyder,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,1,1,22,0,21,1
88525.txt,https://www.covid19usvi.com,26,www.covid19usvi.com,19,0,com,100,0.636363636,0.5229071,0.047647533,3,1,0,0,0,11,0.423,2,0.077,0,0,0,1,0.038,1,802,8362,1,vid19usvi,81.81818182,81.81818182,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,6,59,13,105,1,31,1
246453.txt,https://www.integrho.com,23,www.integrho.com,16,0,com,100,1,0.5229071,0.06572303,3,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,575,5414,1,integrho,100,100,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,32,4,5,35,0,10,1
8073798.txt,https://portaldiscover19.firebaseapp.com/,41,portaldiscover19.firebaseapp.com,32,0,com,56.67909037,0.607142857,0.5229071,0.056873956,3,1,0,0,0,28,0.683,2,0.049,0,0,0,3,0.073,1,6,88,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714544.txt,https://www.aeropolis.es,23,www.aeropolis.es,16,0,es,100,1,0.0064109,0.071420636,2,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,981,9493,1,aropolis,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,34,8,66,90,3,86,1
13900.txt,https://www.strategy-business.com,32,www.strategy-business.com,25,0,com,100,0.529411765,0.5229071,0.058212842,3,1,0,0,0,18,0.562,0,0,0,0,0,2,0.062,1,689,1402,1,strategy-business,100,100,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,29,1,7,79,5,67,1
8094490.txt,https://arpioneer.net/public/js2/.lals/,39,arpioneer.net,13,0,net,34.4516129,1,0.0384199,0.055203737,3,0,0,0,0,24,0.615,1,0.026,0,0,0,6,0.154,1,96,298,1,arpioneerpublicjs2lals,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8039446.txt,https://appbest.wpengine.com/wp-content/themes,45,appbest.wpengine.com,20,0,com,42.85105476,0.5625,0.5229071,0.058079482,3,1,0,0,0,32,0.711,0,0,0,0,0,5,0.111,1,9,96,1,appbestwpenginewp-contenttheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17220.txt,https://www.gps.gov,18,www.gps.gov,11,0,gov,100,1,0.0033282,0.04789283,3,1,0,0,0,5,0.278,0,0,0,0,0,1,0.056,1,529,392,1,gps,100,100,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8,3,2,188,0,13,1
787139.txt,https://www.appealshading.com,28,www.appealshading.com,21,0,com,100,1,0.5229071,0.057387205,3,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,1500,1477,1,appealshading,100,100,1,1,1,0,0,1,0,12,1,1,1,1,0,0,1,0,1,43,4,17,198,1,192,1
828979.txt,https://www.dailyautostudy.com,29,www.dailyautostudy.com,22,0,com,100,1,0.5229071,0.05397988,3,1,0,0,0,16,0.552,0,0,0,0,0,1,0.034,1,9618,10950,1,dailyautostudy,100,100,1,1,1,0,0,0,0,2,1,1,1,1,1,0,0,0,0,36,16,15,148,5,152,1
779050.txt,https://www.sedberghschool.org,29,www.sedberghschool.org,22,0,org,100,1,0.0799628,0.060390521,3,1,0,0,0,16,0.552,0,0,0,0,0,1,0.034,1,1507,9381,1,sedberghschool,100,100,1,1,1,0,0,1,0,2,0,1,0,1,0,0,0,0,1,50,24,35,60,2,81,1
446815.txt,https://www.unc.mil,18,www.unc.mil,11,0,mil,100,1,0.0002984,0.057451816,3,1,0,0,0,5,0.278,0,0,0,0,0,1,0.056,1,1040,6155,1,unc,100,100,1,1,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,13,10,9,67,5,72,1
619391.txt,https://www.entenmannsflorist.com,32,www.entenmannsflorist.com,25,0,com,100,1,0.5229071,0.064977219,3,1,0,0,0,19,0.594,0,0,0,0,0,1,0.031,1,1228,1162,1,entenmannsflorist,100,100,1,0,1,0,0,1,0,3,0,1,1,1,0,0,1,0,0,33,2,14,64,9,43,1
506561.txt,https://www.mosaico-cem.it,25,www.mosaico-cem.it,18,0,it,100,0.727272727,0.012178,0.075190064,2,1,0,0,0,11,0.44,0,0,0,0,0,2,0.08,1,1060,27080,1,mosaco-cem,0,0,1,1,1,0,0,1,0,2,1,1,1,1,0,0,1,0,1,50,12,21,99,2,99,1
529290.txt,https://www.seao.ca,18,www.seao.ca,11,0,ca,100,1,0.0101825,0.080377658,2,1,0,0,0,5,0.278,0,0,0,0,0,1,0.056,1,1270,479,1,seao,100,100,1,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,1,12,3,7,19,0,11,1
684710.txt,https://www.caulifloweralleyclub.org,35,www.caulifloweralleyclub.org,28,0,org,100,1,0.0799628,0.05546098,3,1,0,0,0,22,0.629,0,0,0,0,0,1,0.029,1,562,301,1,caulifloweralleyclub,100,100,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,8,1,2,32,5,34,1
241785.txt,https://www.saintcloud.fr,24,www.saintcloud.fr,17,0,fr,100,1,0.0141483,0.055263072,2,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,2253,2691,1,saintcloud,100,100,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,52,37,48,298,0,25,1
8103314.txt,https://regionale2023-agri.firebaseapp.com/,43,regionale2023-agri.firebaseapp.com,34,0,com,58.34898665,0.533333333,0.5229071,0.055055732,3,1,0,0,0,27,0.628,4,0.093,0,0,0,4,0.093,1,108,8125,1,regionale2023-agrifirebaseapp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
706919.txt,https://www.citizenactionwi.org,30,www.citizenactionwi.org,23,0,org,100,1,0.0799628,0.063396577,3,1,0,0,0,17,0.567,0,0,0,0,0,1,0.033,1,1639,23922,1,citizenactionwi,100,100,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,14,46,48,97,7,111,1
246533.txt,https://www.pokerlist.com,24,www.pokerlist.com,17,0,com,100,1,0.5229071,0.062454891,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,730,9327,1,pokerlist,100,100,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,20,2,3,3,0,13,1
800146.txt,https://www.weblitera.com,24,www.weblitera.com,17,0,com,100,1,0.5229071,0.06298264,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,327,8677,1,weblitera,100,100,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,3,7,3,3,1,0,1
631968.txt,https://www.gonichols.com,24,www.gonichols.com,17,0,com,100,1,0.5229071,0.06583913,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,681,9381,1,gonichols,100,100,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,36,12,19,61,0,81,1
442699.txt,https://www.platekompaniet.no,28,www.platekompaniet.no,21,0,no,100,1,0.0023289,0.060236135,2,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,2072,2021,1,platekompaiet,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,30,2,15,306,1,30,1
42004.txt,https://www.hrcloud.com,22,www.hrcloud.com,15,0,com,100,1,0.5229071,0.060138318,3,1,0,0,0,9,0.409,0,0,0,0,0,1,0.045,1,1547,676,1,hrcloud,100,100,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,49,2,12,111,1,124,1
