URLLength,DomainLength,IsDomainIP,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label,FILENAME,URL,Domain,TLD,Title
20,13,0,100.0,1.0,0.5229071,0.060112203,3,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,2534,988,1,100.0,100.0,1,0,1,0,0,1,4,4,0,1,1,1,0,0,1,0,1,50,2,26,292,48,46,1,804256.txt,https://www.jafra.com,www.jafra.com,com,jafra
29,22,0,100.0,1.0,0.5229071,0.056719501,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,4470,5704,1,100.0,100.0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,93,7,30,155,3,194,1,609646.txt,https://www.docauminhkhang.com,www.docauminhkhang.com,com,docauminhkhang
26,20,0,59.66935794,0.615384615,0.0059772,0.055478278,2,2,0,0,0.0,13,0.5,0,0.0,0,0,0,2,0.077,0,8,41,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw65553.txt,http://www.diannao.urlfb.co,www.diannao.urlfb.co,co,diannaourlfb
19,13,0,66.17283951,0.8,0.0384199,0.051232085,3,1,0,0,0.0,5,0.263,2,0.105,0,0,0,1,0.053,0,2,28,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw76205.txt,http://www.i19lo.net,www.i19lo.net,net,0
19,12,0,100.0,1.0,0.0799628,0.069718954,3,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,458,9800,1,100.0,100.0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,12,24,13,79,0,87,1,848895.txt,https://www.ueel.org,www.ueel.org,org,ueel
19,12,0,100.0,1.0,0.0023289,0.064973967,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,756,14603,1,100.0,100.0,1,1,1,0,0,1,0,2,0,1,1,1,0,0,1,0,0,23,1,14,31,0,15,1,47105.txt,https://www.telia.no,www.telia.no,no,telia
24,18,0,70.6122449,1.0,0.5229071,0.061167663,3,1,0,0,0.0,12,0.5,0,0.0,0,0,0,1,0.042,0,16,50,1,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw51334.txt,http://www.toythieves.com,www.toythieves.com,com,toythieves
28,20,0,68.95238095,0.466666667,0.0017656,0.058623524,4,1,0,0,0.0,17,0.607,0,0.0,0,0,0,3,0.107,1,68,80,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7967869.txt,https://bt-homes.square.site/,bt-homes.square.site,site,bt-homessquare
407,14,1,2.093106004,0.4,0.0,0.038061646,3,2,0,0,0.0,279,0.686,67,0.165,8,1,0,29,0.093,1,2,1638,1,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8086999.txt,http://43.134.240.146/v3/signin/identifier?dsh=s50683809:1679418132559226&amp;followup=https://accounts.google.com/&amp;ifkv=awnoghcp9-2ltxwadw0w_mghydw9zdfdw9swv1afoeguuppgqrv88h4kwfhcxeravqggpsjgv5j9rw&amp;passive=1209600&amp;continue=https://accounts.google.com/&amp;flowname=weblitesignin&amp;flowentry=servicelogin&amp;ifkv=awnoghdxj0d5aehsf5octub9jqayrhvydcvvomxehnkc9hncjx02jrhrb61ddnz87mxqh6aqwur1mw,43.134.240.146,146,43134240v3signinidentifier?dsh=s50683809:1679418132559226&amp;followup=accountsgooglecom&amp;ifkv=awnoghcp9-2ltxwadw0w_mghydw9zdfdw9swv1afoeguuppgqrv88h4kwfhcxeravqggpsjgv5j9rw&amp;passive=1209600&amp;continue=accountsgooglecom&amp;flowname=weblitesignin&amp;flowentry=servicelogin&amp;ifkv=awnoghdxj0d5aehsf5octub9jqayrhvydcvvomxehnkc9hncjx02jrhrb61ddnz87mxqh6aqwur1mw
16,9,0,100.0,1.0,0.0005524,0.030239771,2,1,0,0,0.0,3,0.188,0,0.0,0,0,0,1,0.062,1,2554,379,1,100.0,100.0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,21,15,24,261,0,15,1,166723.txt,https://www.ku.lt,www.ku.lt,lt,ku
